year,cluster_label,count
1983,1,27
1992,6,2
1996,0,1
1996,6,1
1998,6,4
1999,6,3
2003,6,12
2006,1,3
2007,6,4
2007,10,3
2008,1,24
2008,6,5
2009,6,2
2010,6,30
2011,0,1
2011,1,30
2011,6,1
2012,1,1
2012,6,39
2013,1,30
2013,6,19
2013,10,3
2014,1,7
2014,6,67
2014,9,9
2014,11,6
2015,1,101
2015,6,108
2015,9,12
2015,10,2
2015,11,19
2016,0,1
2016,1,157
2016,2,42
2016,4,56
2016,6,124
2016,9,33
2016,10,14
2016,11,3
2017,0,1
2017,1,200
2017,2,1
2017,3,3
2017,4,1
2017,6,86
2017,7,2
2017,9,23
2017,10,29
2017,11,38
2018,1,63
2018,4,53
2018,5,1
2018,6,51
2018,7,2
2018,9,27
2018,10,33
2018,11,17
2019,0,1
2019,1,15
2019,3,2
2019,4,20
2019,5,2
2019,6,37
2019,7,3
2019,8,1
2019,10,25
2019,11,28
2020,0,2
2020,1,64
2020,2,5
2020,3,31
2020,4,4
2020,5,2
2020,6,71
2020,7,33
2020,9,4
2020,10,26
2020,11,50
2021,0,1
2021,1,59
2021,2,27
2021,3,41
2021,4,20
2021,5,5
2021,6,57
2021,7,11
2021,9,15
2021,10,13
2021,11,28
2022,0,1
2022,1,119
2022,2,36
2022,3,18
2022,4,13
2022,5,53
2022,6,45
2022,7,29
2022,9,30
2022,10,41
2022,11,61
2023,1,185
2023,2,5
2023,3,57
2023,4,3
2023,5,132
2023,6,41
2023,7,187
2023,8,46
2023,9,15
2023,10,22
2023,11,143
2024,1,322
2024,3,158
2024,4,3
2024,5,36
2024,6,55
2024,7,104
2024,8,8
2024,9,17
2024,10,23
2024,11,233
2025,1,277
2025,2,13
2025,3,348
2025,5,105
2025,6,38
2025,7,73
2025,8,89
2025,9,14
2025,10,60
2025,11,143
2026,1,64
2026,3,20
2026,5,9
2026,6,6
2026,7,9
2026,8,7
2026,9,5
2026,10,1
2026,11,29
